GEO.id,Total_Households,Total_Families,Families_w_Children
8600000US03444,613,461,107
8600000US03445,278,175,63
8600000US03446,2413,1680,568
8600000US03447,1058,693,202
8600000US03448,300,191,34
8600000US03449,727,514,161
8600000US03450,453,293,74
8600000US03451,1777,1071,468
8600000US03452,2170,1384,438
8600000US03455,812,486,169
8600000US03456,304,221,92
8600000US03457,290,194,52
8600000US03458,3202,1712,526
8600000US03461,1836,1370,491
8600000US03462,705,418,170
8600000US03464,483,362,106
8600000US03465,947,615,266
8600000US03466,464,365,124
8600000US03467,636,516,192
8600000US03470,1990,1340,479
8600000US03561,2591,1591,589
8600000US03570,4095,2379,914
8600000US03574,1049,630,301
8600000US03575,13,6,0
8600000US03576,1488,948,296
8600000US03579,257,138,28
8600000US03580,599,381,79
8600000US03581,1433,1017,351
8600000US03582,1058,738,289
8600000US03583,433,285,71
8600000US03584,1633,1047,440
8600000US03585,1059,723,237
8600000US03586,295,186,51
8600000US03588,718,507,159
8600000US03590,399,222,92
8600000US03592,568,355,88
8600000US03593,187,136,13
8600000US03595,323,218,80
8600000US03597,143,91,3
8600000US03598,1482,896,266
8600000US03601,197,119,45
8600000US03602,1049,758,262
8600000US03603,2186,1467,498
8600000US03604,143,117,69
8600000US03605,402,284,92
8600000US03607,152,111,25
8600000US03608,1047,643,187
8600000US03609,392,255,137
8600000US03740,317,202,57
8600000US03741,1583,1211,457
8600000US03743,5445,3262,1416
8600000US03745,578,405,121
8600000US03746,81,66,30
8600000US03748,2024,1341,385
8600000US03750,365,303,133
8600000US03751,294,159,12
8600000US03752,298,186,57
8600000US03753,1115,895,327
8600000US03754,113,29,29
8600000US03755,2607,1543,734
8600000US03765,228,126,38
8600000US03766,4402,2488,925
8600000US03768,679,491,197
8600000US03770,178,138,80
8600000US03771,339,266,92
8600000US03773,3136,2011,662
8600000US03774,572,417,105
8600000US03777,557,392,174
8600000US03779,335,205,72
8600000US03780,170,74,29
8600000US03781,701,495,104
8600000US03782,1351,839,271
8600000US03784,1942,958,407
8600000US03785,1039,714,297
8600000US03801,10567,5053,2109
8600000US03809,1524,1006,396
8600000US03810,600,490,207
8600000US03811,2630,2036,732
8600000US03812,408,129,35
8600000US03813,1297,954,386
